"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[0,0.1)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[0.1,0.2)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[0.2,0.3)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[0.3,0.4)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[0.4,0.5)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[0.5,0.6)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[0.6,0.7)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[0.7,0.8)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[0.8,0.9)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[0.9,1)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[1,1.1)",0.010663
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[1.1,1.2)",0.126033
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[1.2,1.3)",0.098686
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[1.3,1.4)",0.092024
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[1.4,1.5)",0.110669
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[1.5,1.6)",0.104687
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[1.6,1.7)",0.092044
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[1.7,1.8)",0.074699
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[1.8,1.9)",0.041311
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[1.9,2)",0.055354
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[2,2.1)",0.03801
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[2.1,2.2)",0.033349
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[2.2,2.3)",0.027327
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[2.3,2.4)",0.017325
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[2.4,2.5)",0.014004
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[2.5,2.6)",0.013343
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[2.6,2.7)",0.006002
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[2.7,2.8)",0.006002
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[2.8,2.9)",0.006642
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[2.9,3)",0.006002
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[3,3.1)",0.00132
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[3.1,3.2)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[3.2,3.3)",0.00134
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[3.3,3.4)",0.002001
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[3.4,3.5)",0.001981
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[3.5,3.6)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[3.6,3.7)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[3.7,3.8)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[3.8,3.9)",0.00132
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[3.9,4)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[4,4.1)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[4.1,4.2)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[4.2,4.3)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[4.3,4.4)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[4.4,4.5)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[4.5,4.6)",0.002661
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[4.6,4.7)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[4.7,4.8)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[4.8,4.9)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[4.9,5)",0.00132
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[5,5.1)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[5.1,5.2)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[5.2,5.3)",0
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[5.3,5.4)",0.00066
"HHS Region 2","2011-12-25",3,"2012-01-15","pmf","[5.4,5.5)",0
